p_value,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Perak,Perlis,Pulau Pinang,Sabah,Sarawak,Selangor,Terengganu,W.P. Kuala Lumpur,W.P. Labuan,W.P. Putrajaya
0.435720165,,,,,,,,,,,,,,,,
0.442109903,,,,,,,,,,,,,,,,
0.44832897,,,,,,,,,,,,,,,,
0.399841772,,,,,,,,,,,,,,,,
0.37815367,,,,,,,,,,,,,,,,
0.390689814,,,,,,,,,,,,,,,,
0.389353821,,,,,,,,,,,,,,,,
0.421904252,,,,,,,,,,,,,,,,
0.371897671,,,,,,,,,,,,,,,,
0.38588661,,,,,,,,,,,,,,,,
0.410088692,,,,,,,,,,,,,,,,
0.375910844,,,,,,,,,,,,,,,,
0.355216882,,,,,,,,,,,,,,,,
0.385925405,,,,,,,,,,,,,,,,
0.362975464,,,,,,,,,,,,,,,,
0.33219637,,,,,,,,,,,,,,,,
0.384228188,,,,,,,,,,,,,,,,
0.360708535,,,,,,,,,,,,,,,,
0.369331838,,,,,,,,,,,,,,,,
0.38455701,,,,,,,,,,,,,,,,
0.359683794,,,,,,,,,,,,,,,,
0.38531816,,,,,,,,,,,,,,,,
0.397460765,,,,,,,,,,,,,,,,
0.380931523,,,,,,,,,,,,,,,,
0.370274469,,,,,,,,,,,,,,,,
0.347662142,,,,,,,,,,,,,,,,
0.336835724,,,,,,,,,,,,,,,,
0.416497509,,,,,,,,,,,,,,,,
0.422912621,,,,,,,,,,,,,,,,
0.429069362,,,,,,,,,,,,,,,,
0.332142857,,,,,,,,,,,,,,,,
0.337844696,,,,,,,,,,,,,,,,
0.349896089,,,,,,,,,,,,,,,,
0.335935806,,,,,,,,,,,,,,,,
0.395951929,,,,,,,,,,,,,,,,
0.415713196,,,,,,,,,,,,,,,,
0.412258175,,,,,,,,,,,,,,,,
0.401238816,,,,,,,,,,,,,,,,
0.355333448,,,,,,,,,,,,,,,,
0.357500895,,,,,,,,,,,,,,,,
0.394595631,,,,,,,,,,,,,,,,
0.404536275,,,,,,,,,,,,,,,,
0.445666029,,,,,,,,,,,,,,,,
0.406554093,,,,,,,,,,,,,,,,
0.467201375,,,,,,,,,,,,,,,,
0.402673476,,,,,,,,,,,,,,,,
0.498428453,,,,,,,,,,,,,,,,
0.451542195,,,,,,,,,,,,,,,,
0.380454664,,,,,,,,,,,,,,,,
0.395801043,,,,,,,,,,,,,,,,
0.424560217,,,,,,,,,,,,,,,,
0.380501089,,,,,,,,,,,,,,,,
0.384368652,,,,,,,,,,,,,,,,
0.452828116,,,,,,,,,,,,,,,,
0.465710287,,,,,,,,,,,,,,,,
0.448145139,,,,,,,,,,,,,,,,
