t,date,cases_new,cases_recovered,cases_active,daily_vaccinated,FIXED,new_exposed_over,new_exposed_under,new_exposed,E(t)= NewCt+1 / delta,delta E(t),S,S/N,S/N * I,beta1,beta2,gamma1,gamma2,x1,match_check,x3,x4,vax_daily_p,vax_daily_f,vax_daily_bo,vax_daily_total,new_cases_unvax,new_cases_pvax,new_cases_fvax,new_cases_boost,new_cases_total,new_exposed_over_p,new_exposed_under_p,new_exposed_p,new_exposed_over_f,new_exposed_under_f,new_exposed_f,e_p,e_f,,ve_p,ve_f,vax_p_cum,vax_f_cum,ncass_vax_p_cum,ncass_vax_f_cum
105,4/15/2021,2148,1259,17510,9171,,2898.833333,2080.166667,2489.5,15306,2551,31788944.67,0.975121002,17074.36875,0.14580334,0.874820043,0.087035979,0.064363221,,1,1021,1027,18101,9168,0,27269,2132,10,6,0,2148,24,16.16666667,20.08333333,8.166666667,5.666666667,6.916666667,6.34E-08,4.31E-08,,99.92627422,99.99372882,672186,440455,506,28
106,4/16/2021,2551,1524,18531,3926,,2981.333333,2186.666667,2584,13986,2331,31777284.17,0.974763318,18063.33905,0.143052178,0.858313071,0.098861367,0.111326966,,1,488,499,15630,3922,0,19552,2531,17,3,0,2551,25.16666667,18.5,21.83333333,8.833333333,7.166666667,8,7.54E-08,1.10E-07,,99.92556532,99.99311903,687816,444377,523,31
107,4/17/2021,2331,1832,19019,1113,,3097.666667,2244.833333,2671.25,13170,2195,31770774.17,0.974563625,18535.22558,0.14411748,0.864704879,0.075030233,0.082601609,,1,760,768,8572,1113,0,9685,2306,22,3,0,2331,26.5,20.16666667,23.33333333,9.5,7.666666667,8.583333333,1.43E-07,4.05E-07,,99.92340953,99.99247224,696388,445490,545,34
108,4/18/2021,2195,1427,19779,3766,,3163,2317.5,2740.25,12468,2078,31766989.92,0.974447543,19273.59796,0.14217636,0.853058159,0.07088326,0.077304212,,1,666,676,6093,3766,0,9859,2174,18,3,0,2195,27.66666667,21.5,24.58333333,11.33333333,7.5,9.416666667,2.04E-07,1.26E-07,,99.92158112,99.99187765,702481,449256,563,37
109,4/19/2021,2078,1402,20445,8493,,3296.666667,2293.833333,2795.25,14046,2341,31760483.67,0.974247965,19918.49965,0.140334365,0.84200619,0.077867449,0.065492786,,1,739,749,24668,8490,0,33158,2060,15,3,0,2078,29.83333333,20.33333333,25.08333333,12.5,9.166666667,10.83333333,4.97E-08,6.24E-08,,99.92228311,99.99138422,727149,457746,578,40
110,4/20/2021,2341,1592,21184,11292,,3372.833333,2343,2857.916667,14040,2340,31749195.42,0.9739017,20631.13361,0.138524461,0.831146767,0.090162387,0.090634441,,1,421,430,22087,11292,0,33379,2322,15,4,0,2341,31.16666667,21.16666667,26.16666667,13.5,9.333333333,11.41666667,5.59E-08,4.77E-08,,99.92267032,99.99075405,749236,469038,593,44
111,4/21/2021,2340,1910,21605,11876,,3529.666667,2445.5,2987.583333,17250,2875,31735045.5,0.973467653,21031.76865,0.142050979,0.852305876,0.117611664,0.093126591,,1,328,334,15825,11875,0,27700,2317,15,8,0,2340,33.83333333,22.5,28.16666667,14.33333333,9.166666667,11.75,8.24E-08,4.58E-08,,99.9223928,99.98934673,765061,480913,608,52
112,4/22/2021,2875,2541,21933,15188,,3557,2628.5,3092.75,17082,2847,31720181.92,0.973011715,21341.06595,0.144920128,0.869520765,0.106734145,0.108694661,,1,491,506,14395,15189,0,29584,2841,29,5,0,2875,35.66666667,24.83333333,30.25,14.83333333,11.16666667,13,9.58E-08,3.90E-08,,99.92022877,99.98868525,779456,496102,637,57
113,4/23/2021,2847,2341,22424,6694,,3678.333333,2646,3162.166667,16302,2717,31701901.17,0.972450956,21806.24024,0.145012007,0.870072043,0.102211916,0.108366036,,1,417,425,12219,6693,0,18912,2810,23,14,0,2847,37.83333333,27.66666667,32.75,15.66666667,12.5,14.08333333,1.20E-07,9.38E-08,,99.91865535,99.9860967,791675,502795,660,71
114,4/24/2021,2717,2292,22841,3492,,3632.333333,2760.166667,3196.25,16140,2690,31692045,0.97214862,22204.84662,0.1439438,0.8636628,0.081126045,0.083227529,,1,816,837,7992,3491,0,11483,2676,29,12,0,2717,38,30.33333333,34.16666667,15.83333333,12,13.91666667,1.87E-07,1.75E-07,,99.91595086,99.98386066,799667,506286,689,83
115,4/25/2021,2690,1853,23657,5737,,3696.833333,2653.166667,3175,16656,2776,31685356.75,0.971943459,22993.2664,0.138083904,0.828503427,0.076214228,0.073170732,,1,959,973,9112,5734,0,14846,2658,25,7,0,2690,40.33333333,29.66666667,35,17,10.83333333,13.91666667,1.62E-07,1.03E-07,,99.91390707,99.98269859,808779,512020,714,90
116,4/26/2021,2776,1803,24616,8944,,3797.166667,2617.833333,3207.5,16398,2733,31676444.75,0.971670084,23918.6308,0.134100485,0.804602912,0.082019825,0.08421352,,1,703,714,21369,8943,0,30312,2746,23,7,0,2776,43.66666667,29.5,36.58333333,18.33333333,12.66666667,15.5,6.95E-08,7.04E-08,,99.91347943,99.98167813,830148,520963,737,97
117,4/27/2021,2733,2019,25319,11883,,3833.666667,2610.5,3222.083333,18852,3142,31664293.25,0.971297339,24592.27733,0.131020128,0.786120771,0.071961768,0.056360836,,1,1306,1320,22827,11880,0,34707,2696,22,15,0,2733,44.83333333,31,37.91666667,20.16666667,13.33333333,16.75,6.56E-08,5.57E-08,,99.91334353,99.97932416,852975,532843,759,112
118,4/28/2021,3142,1822,26625,13240,,3952,2722.166667,3337.083333,19992,3332,31649188.17,0.970833993,25848.45506,0.129101849,0.774611092,0.072976526,0.066666667,,1,1367,1389,26464,13237,0,39701,3099,28,15,0,3142,48.66666667,31.66666667,40.16666667,19.83333333,14.5,17.16666667,5.70E-08,4.87E-08,,99.91292314,99.97713282,879439,546080,787,127
119,4/29/2021,3332,1943,27992,6068,,4225,2902.166667,3563.583333,22728,3788,31632611.08,0.970325493,27161.35121,0.131200517,0.787203105,0.094312661,0.078772506,,1,1127,1148,6469,6066,0,12535,3284,37,11,0,3332,50.66666667,35.66666667,43.16666667,20,15.33333333,17.66666667,2.38E-07,1.04E-07,,99.9095134,99.97542982,885908,552146,824,138
120,4/30/2021,3788,2640,29119,8921,,4277.5,3238.666667,3758.083333,17286,2881,31622979.5,0.970030046,28246.30491,0.133046901,0.798281406,0.084549607,0.116247124,,1,403,419,17792,8919,0,26711,3730,39,19,0,3788,51.5,40.33333333,45.91666667,22.16666667,16.66666667,19.41666667,8.86E-08,7.48E-08,,99.90714849,99.97249897,903700,561065,863,157
121,5/1/2021,2881,2462,29522,2572,,4495.333333,3340.833333,3918.083333,20508,3418,31610300.42,0.969641117,28625.74506,0.136872711,0.821236267,0.091389472,0.073877109,,1,700,720,2930,2570,0,5500,2826,40,15,0,2881,58,41.5,49.75,24.66666667,17.16666667,20.91666667,5.75E-07,2.76E-07,,99.90316764,99.97001125,906630,563635,903,172
122,5/2/2021,3418,2698,30222,8124,,4637.5,3351.333333,3994.416667,15000,2500,31603810.33,0.969442035,29298.47717,0.1363353,0.818011798,0.068426974,0.099563232,,1,409,432,7658,8124,0,15782,3368,38,12,0,3418,59.66666667,44,51.83333333,26.33333333,17.16666667,21.75,2.24E-07,8.86E-08,,99.899962,99.96838285,914288,571759,941,184
123,5/3/2021,2500,2068,30631,26749,,4807.666667,3421.666667,4114.666667,18720,3120,31591691.92,0.969070304,29683.59249,0.138617543,0.83170526,0.076197316,0.056413437,,1,772,786,24535,26747,0,51282,2468,24,8,0,2500,61.83333333,44.33333333,53.08333333,26.83333333,18.83333333,22.83333333,7.06E-08,2.79E-08,,99.90016889,99.96850889,938823,598506,965,192
124,5/4/2021,3120,2334,31403,19703,,5025,3466.166667,4245.583333,22464,3744,31560828.25,0.968123566,30401.98434,0.139648231,0.837889386,0.073368786,0.05448524,,1,1409,1440,30141,19703,0,49844,3062,36,22,0,3120,67.33333333,44.16666667,55.75,28.16666667,20.33333333,24.25,5.89E-08,3.92E-08,,99.89976126,99.96604009,968964,618209,1001,214
125,5/5/2021,3744,2304,32812,22912,,4960.833333,3522.166667,4241.5,21306,3551,31536879.67,0.967388947,31741.96612,0.133624363,0.801746177,0.082561258,0.089296599,,1,814,842,32111,22909,0,55020,3673,48,23,0,3744,71.83333333,48.33333333,60.08333333,29.5,22.66666667,26.08333333,5.70E-08,3.47E-08,,99.89842717,99.96376006,1001075,641118,1049,237
126,5/6/2021,3551,2709,33626,18790,,4897.666667,3585.5,4241.583333,26988,4498,31509726.17,0.966556017,32501.41264,0.130504584,0.783027503,0.10256944,0.075328615,,1,1018,1049,37077,18789,0,55866,3485,44,22,0,3551,78.5,56,67.25,32.5,22.66666667,27.58333333,5.39E-08,4.37E-08,,99.89806611,99.96154622,1038152,659907,1093,259
127,5/7/2021,4498,3449,34644,15493,,4905.5,3641,4273.25,27114,4519,31486694.58,0.965849527,33460.89102,0.127708793,0.766252757,0.078484009,0.078714929,,1,1771,1800,32357,15491,0,47848,4419,62,17,0,4498,84.83333333,60.83333333,72.83333333,32.33333333,24.5,28.41666667,6.50E-08,5.30E-08,,99.89564665,99.95998149,1070509,675398,1155,276
128,5/8/2021,4519,2719,36415,8447,,5012,3608.833333,4310.416667,22398,3733,31466928.33,0.9652432,35149.33114,0.122631542,0.73578925,0.088177949,0.110339146,,1,501,522,18701,8445,0,27146,4451,52,16,0,4519,88.66666667,66.66666667,77.66666667,34,23.16666667,28.58333333,1.14E-07,9.29E-08,,99.89288423,99.95819547,1089210,683843,1207,292
129,5/9/2021,3733,3211,36916,6607,,5160.666667,3555.666667,4358.166667,22842,3807,31454170.92,0.964851869,35618.47158,0.122356925,0.734141552,0.093563766,0.092507314,,1,318,353,25907,6607,0,32514,3665,43,25,0,3733,95.66666667,70.83333333,83.25,36.5,24.33333333,30.41666667,8.70E-08,1.25E-07,,99.89173434,99.95505987,1115117,690450,1250,317
130,5/10/2021,3807,3454,37234,24879,,5379,3557.333333,4468.166667,23838,3973,31443205.75,0.964515514,35912.77064,0.124417208,0.74650325,0.07648923,0.073212655,,1,1081,1125,36730,24873,0,61603,3721,63,23,0,3807,102.5,72.66666667,87.58333333,43.33333333,27.16666667,35.25,6.40E-08,3.81E-08,,99.89003234,99.95351148,1151847,715323,1313,340
131,5/11/2021,3973,2848,38315,18462,,5704.166667,3884.333333,4794.25,28590,4765,31413858.58,0.963615294,36920.91999,0.129851856,0.779111138,0.081534647,0.062168863,,1,1591,1641,30528,18462,0,48990,3895,46,32,0,3973,109.3333333,74.83333333,92.08333333,50.5,34.16666667,42.33333333,7.87E-08,5.98E-08,,99.88922594,99.95044449,1182375,733785,1359,372
132,5/12/2021,4765,3124,39906,7830,,6100.833333,4328.666667,5214.75,29130,4855,31390602.33,0.962901912,38425.5637,0.135710436,0.814262615,0.083872099,0.082569037,,1,1470,1508,10338,7830,0,18168,4678,61,26,0,4765,112.1666667,79.16666667,95.66666667,61.16666667,40.66666667,50.91666667,2.32E-07,1.63E-07,,99.88529453,99.94755356,1192713,741615,1420,398
133,5/13/2021,4855,3347,41376,10,,6464.166667,4780.833333,5622.5,24678,4113,31377557.58,0.962501766,39824.47308,0.141182031,0.847092187,0.101266435,0.120287123,,1,-122,-77,112,10,0,122,4748,77,30,0,4855,118,83.33333333,100.6666667,69.83333333,51.5,60.66666667,2.17E-05,0.000146623,,99.87908608,99.94360104,1192825,741625,1497,428
134,5/14/2021,4113,4190,41254,9,,6996.833333,5093.166667,6045,24840,4140,31371925.08,0.96232899,39699.92017,0.152267309,0.913603852,0.083191933,0.083700974,,1,660,708,60,9,0,69,3999,89,25,0,4113,127,90.16666667,108.5833333,82.83333333,60.33333333,71.58333333,4.39E-05,0.000192798,,99.87190382,99.9403074,1192885,741634,1586,453
135,5/15/2021,4140,3432,41914,604,,7340.666667,5445,6392.833333,22680,3780,31365871.08,0.962143285,40327.27364,0.158523817,0.9511429,0.095194923,0.104833707,,1,-254,-210,10332,604,0,10936,4014,92,34,0,4140,132.5,98,115.25,92.83333333,69.5,81.16666667,2.66E-07,3.21E-06,,99.86568086,99.93588053,1203217,742238,1678,487
136,5/16/2021,3780,3990,41660,334,,7744.666667,5517.333333,6631,26676,4446,31358874.25,0.961928658,40073.94789,0.165469098,0.992814586,0.066826692,0.05206433,,1,1611,1662,9994,334,0,10328,3675,81,24,0,3780,139.8333333,100.8333333,120.3333333,101.1666667,73.83333333,87.5,2.89E-07,6.29E-06,,99.86040103,99.93275155,1213211,742572,1759,511
137,5/17/2021,4446,2784,43271,28214,,7978.5,5597.833333,6788.166667,29190,4865,31351909.25,0.961715008,41614.3701,0.163120736,0.978724414,0.080816251,0.072473481,,1,1310,1368,32487,28214,0,60701,4327,86,33,0,4446,143.6666667,103.1666667,123.4166667,107.8333333,77.83333333,92.83333333,8.78E-08,7.60E-08,,99.85754171,99.93109025,1245698,770786,1845,544
138,5/18/2021,4865,3497,44581,32405,,8153.666667,5762,6957.833333,36450,6075,31316907.08,0.960641322,42826.35076,0.162466174,0.974797041,0.078867679,0.052914919,,1,2506,2559,45835,32402,0,78237,4730,88,47,0,4865,148.5,106.3333333,127.4166667,117,80.83333333,98.91666667,6.24E-08,6.85E-08,,99.85625382,99.92822981,1291533,803188,1933,591
139,5/19/2021,6075,3516,47087,34154,,8453.166667,6018.166667,7235.666667,40836,6806,31277544.25,0.959433873,45176.86276,0.160163106,0.960978637,0.083165205,0.068617665,,1,2844,2890,50228,34152,0,84380,5906,102,67,0,6075,155.8333333,109.6666667,132.75,121.1666667,87.83333333,104.5,5.61E-08,6.50E-08,,99.8545669,99.92343468,1341761,837340,2035,658
140,5/20/2021,6806,3916,49931,22007,,8903.166667,6237.166667,7570.166667,38958,6493,31236154.58,0.958164251,47842.09922,0.158232327,0.949393959,0.090284593,0.097774929,,1,1924,1985,59293,22006,0,81299,6615,118,73,0,6806,162.1666667,112.1666667,137.1666667,131.1666667,89.83333333,110.5,4.63E-08,1.01E-07,,99.85292456,99.91717579,1401054,859346,2153,731
141,5/21/2021,6493,4508,51855,18911,,8907,6655.666667,7781.333333,37920,6320,31206577.42,0.957256976,49638.56049,0.156759851,0.940559104,0.090521647,0.095497059,,1,1541,1626,42242,18907,0,61149,6298,106,89,0,6493,163.3333333,119.8333333,141.5833333,129.8333333,98.66666667,114.25,6.46E-08,1.17E-07,,99.85040233,99.90914588,1443296,878253,2259,820
142,5/22/2021,6320,4694,53396,3369,,8959.5,6607.333333,7783.416667,41856,6976,31179885.08,0.956438193,51069.97374,0.152406906,0.914441434,0.067177317,0.056183984,,1,3320,3389,43347,3368,0,46715,6107,127,86,0,6320,166.1666667,121.5,143.8333333,131.3333333,98.16666667,114.75,6.21E-08,6.38E-07,,99.84681198,99.90001112,1486643,881621,2386,906
143,5/23/2021,6976,3587,56716,8431,,8928.833333,6498.333333,7713.583333,39054,6509,31168732.67,0.956096094,54225.94607,0.14224894,0.853493638,0.060864659,0.07026236,,1,2991,3057,38040,8425,0,46465,6739,135,102,0,6976,169.8333333,123.3333333,146.5833333,135.6666667,97.33333333,116.5,6.79E-08,2.44E-07,,99.84237509,99.88983604,1524683,890046,2521,1008
144,5/24/2021,6509,3452,59707,26158,,8966.333333,6373,7669.666667,43734,7289,31152588.08,0.955600861,57056.06063,0.134423348,0.806540085,0.063459896,0.051635487,,1,3426,3500,69753,26150,0,95903,6297,119,93,0,6509,176.8333333,124.5,150.6666667,141.5,96.5,119,3.62E-08,7.62E-08,,99.84250962,99.88320256,1594436,916196,2640,1101
145,5/25/2021,7289,3789,63133,30803,,9025,6275.166667,7650.083333,44868,7478,31118760.42,0.954563203,60264.43869,0.126941916,0.761651498,0.073891626,0.072339347,,1,2722,2813,69895,30797,0,100692,7060,132,97,0,7289,176.1666667,127.3333333,151.75,143,101.1666667,122.0833333,3.44E-08,6.28E-08,,99.84193622,99.87716465,1664331,946993,2772,1198
146,5/26/2021,7478,4665,65855,1912,,8934.666667,6140,7537.333333,47142,7857,31080307.33,0.953383661,62785.08096,0.120049751,0.720298506,0.069820059,0.065021638,,1,3196,3259,20516,1910,0,22426,7246,125,107,0,7478,181.3333333,123.6666667,152.5,144.3333333,99.66666667,122,1.13E-07,9.70E-07,,99.83692762,99.86647049,1684847,948903,2897,1305
147,5/27/2021,7857,4598,69051,49675,,8673.333333,6264.833333,7469.083333,49740,8290,31070858,0.953093804,65812.08024,0.113491069,0.680946413,0.069716586,0.064966474,,1,3371,3476,58914,49671,0,108585,7582,147,128,0,7857,179.8333333,130.1666667,155,140.3333333,104.3333333,122.3333333,3.81E-08,3.57E-08,,99.83475679,99.86088495,1743761,998574,3044,1433
148,5/28/2021,8290,4814,72422,27631,,8547,6369.5,7458.25,54120,9020,31013713.92,0.951340918,68898.01194,0.108250584,0.649503501,0.076316589,0.067272376,,1,3418,3493,46960,27596,0,74556,8026,150,114,0,8290,184,133.5,158.75,143.3333333,107.6666667,125.5,4.67E-08,6.28E-08,,99.83141712,99.85398372,1790721,1026170,3194,1547
149,5/29/2021,9020,5527,75840,15082,,8288.166667,6225.5,7256.833333,41994,6999,30978624.67,0.95026456,72068.06426,0.100694162,0.604164972,0.067523734,0.095609177,,1,1769,1878,51139,15080,0,66219,8709,165,146,0,9020,186,135.6666667,160.8333333,146.5,105.8333333,126.1666667,4.15E-08,1.10E-07,,99.82791595,99.84259204,1841860,1041250,3359,1693
150,5/30/2021,6999,5121,77609,24443,,8031.666667,5820.166667,6925.916667,40944,6824,30956285.83,0.94957932,73695.90145,0.093979672,0.563878034,0.067659679,0.071164427,,1,1476,1573,38417,24441,0,62858,6763,142,94,0,6999,184.1666667,132.5,158.3333333,140.1666667,102.3333333,121.25,5.31E-08,6.39E-08,,99.82452445,99.83778807,1880277,1065691,3501,1787
151,5/31/2021,6824,5251,79085,28728,,7787.666667,5379.666667,6583.666667,42630,7105,30924916.92,0.948617083,75021.38204,0.087757203,0.526543219,0.076917241,0.074552696,,1,928,1022,67676,28724,0,96400,6586,136,102,0,6824,182,132.5,157.25,135.6666667,93.66666667,114.6666667,2.94E-08,5.05E-08,,99.82442804,99.83318118,1947953,1094415,3637,1889
152,6/1/2021,7105,6083,80013,24471,,7364.666667,5128.166667,6246.416667,46218,7703,30889605.25,0.947533903,75815.03021,0.082390215,0.494341292,0.072200767,0.065814305,,1,1839,1926,75500,24469,0,99969,6828,154,123,0,7105,184,128,156,133.5,92.5,113,2.58E-08,5.77E-08,,99.82425539,99.82633902,2023453,1118884,3791,2012
153,6/2/2021,7703,5777,81852,9903,,7214.833333,4831.333333,6023.083333,49254,8209,30858887.83,0.946591651,77480.41984,0.077736844,0.466421066,0.086118849,0.081280848,,1,1050,1160,97082,9903,0,106985,7394,167,142,0,7703,186.3333333,127.8333333,157.0833333,131.5,92.83333333,112.1666667,1.98E-08,1.38E-07,,99.8254689,99.81577088,2120535,1128787,3958,2154
154,6/3/2021,8209,7049,82902,7886,,6938.333333,4932.666667,5935.5,46488,7748,30842961.75,0.946103121,78433.84095,0.075675243,0.45405146,0.079901571,0.086463535,,1,1041,1124,111472,7882,0,119354,7929,143,137,0,8209,187.1666667,132.5,159.8333333,129.1666667,92.5,110.8333333,1.73E-08,1.70E-07,,99.82882224,99.8054601,2232007,1136669,4101,2291
155,6/4/2021,7748,6624,83943,4992,,6782.166667,5019.666667,5900.916667,44712,7452,30829140.25,0.945679149,79383.14479,0.07433463,0.446007778,0.072727923,0.077326281,,1,1257,1347,86496,4987,0,91483,7445,181,122,0,7748,185.3333333,134.6666667,160,125.6666667,90.33333333,108,2.20E-08,2.58E-07,,99.8284243,99.7960271,2318503,1141656,4282,2413
156,6/5/2021,7452,6105,85200,1405,,6728.5,4976,5852.25,37446,6241,30818247.33,0.94534501,80543.39487,0.072659589,0.435957536,0.060246479,0.075387324,,1,1029,1108,72244,1402,0,73646,7174,156,122,0,7452,189,136.8333333,162.9166667,120.8333333,91.33333333,106.0833333,2.65E-08,8.88E-07,,99.82795772,99.78598591,2390747,1143058,4438,2535
157,6/6/2021,6241,5133,86229,1620,,6704,4761,5732.5,31626,5271,30810990.08,0.945122395,81496.95902,0.070340048,0.422040287,0.087534356,0.099757622,,1,-2361,-2277,81208,1619,0,82827,5962,167,112,0,6241,195.6666667,139.5,167.5833333,123,87.5,105.25,2.39E-08,7.54E-07,,99.82781164,99.77685724,2471955,1144677,4605,2647
158,6/7/2021,5271,7548,83868,5108,,6522.5,4719,5620.75,33396,5566,30803637.58,0.944896858,79246.60972,0.070927324,0.425563947,0.083011399,0.080364382,,1,-1469,-1396,60849,5106,0,65955,5002,148,121,0,5271,206.6666667,144.1666667,175.4166667,119.3333333,83.16666667,101.25,3.44E-08,2.36E-07,,99.82689688,99.76773,2532804,1149783,4753,2768
159,6/8/2021,5566,6962,82399,46444,,6533.666667,4435.833333,5484.75,37434,6239,30792908.83,0.944567756,77831.4385,0.070469596,0.422817574,0.08963701,0.08259809,,1,-1240,-1147,108565,46434,0,154999,5338,143,85,0,5566,215.5,148.3333333,181.9166667,116.1666667,80.33333333,98.25,2.03E-08,2.57E-08,,99.82963439,99.77022955,2641369,1196217,4896,2853
160,6/9/2021,6239,7386,81159,40818,,6465.5,4426.666667,5446.083333,34026,5671,30740980.08,0.942974849,76530.89578,0.071161892,0.426971351,0.090254932,0.098091401,,1,-1722,-1654,116365,40811,0,157176,5970,154,115,0,6239,216,156.1666667,186.0833333,116,79.83333333,97.91666667,1.97E-08,2.96E-08,,99.83234347,99.76915338,2757734,1237028,5050,2968
161,6/10/2021,5671,7325,79437,47514,,6485.166667,4616,5550.583333,41094,6849,30694716,0.941555706,74794.36058,0.074211255,0.445267527,0.097549001,0.083550487,,1,-966,-900,113821,47506,0,161327,5392,155,124,0,5671,234,163.1666667,198.5833333,115.8333333,82.83333333,99.33333333,2.20E-08,2.63E-08,,99.83467919,99.76875287,2871555,1284534,5205,3092
162,6/11/2021,6849,7749,78471,30304,,6483.333333,4776.333333,5629.833333,34758,5793,30641651.42,0.939927958,73757.08676,0.076329389,0.457976331,0.10620484,0.120719756,,1,-2624,-2541,96394,30297,0,126691,6544,195,110,0,6849,242.5,179.6666667,211.0833333,113,85.33333333,99.16666667,2.79E-08,4.17E-08,,99.83459319,99.76626973,2967949,1314831,5400,3202
163,6/12/2021,5793,8334,75847,34210,,6427,4755.333333,5591.166667,31824,5304,30605717.58,0.938825693,71207.11232,0.078519778,0.471118669,0.10762456,0.115034214,,1,-2932,-2859,103462,34202,0,137664,5524,161,108,0,5793,252.1666667,183.6666667,217.9166667,111.5,81.33333333,96.41666667,2.78E-08,3.72E-08,,99.83597345,99.76476855,3071411,1349033,5561,3310
164,6/13/2021,5304,8163,72915,27023,,6314.333333,4665.5,5489.916667,29694,4949,30565916.42,0.937604798,68365.45385,0.080302497,0.481814983,0.090351779,0.096468491,,1,-1730,-1639,105019,27021,0,132040,5057,156,91,0,5304,268,185,226.5,110.3333333,79.66666667,95,2.96E-08,4.82E-08,,99.83752639,99.76325182,3176430,1376054,5717,3401
165,6/14/2021,4949,6588,71185,55974,,6330,4499.666667,5414.833333,32514,5419,30533403.5,0.936607469,66672.4027,0.081215512,0.487293073,0.095961228,0.090468498,,1,-1491,-1412,148038,55961,0,203999,4687,170,92,0,4949,287,196.6666667,241.8333333,111.6666667,77.33333333,94.5,2.29E-08,2.37E-08,,99.8409486,99.76676771,3324468,1432015,5887,3493
166,6/15/2021,5419,6831,69694,56267,,6347.166667,4300.333333,5323.75,30900,5150,30472014.67,0.934724376,65144.68068,0.081721945,0.490331669,0.103882687,0.10890464,,1,-2171,-2090,167138,56264,0,223402,5138,183,98,0,5419,315.1666667,219.3333333,267.25,113.3333333,76,94.66666667,2.29E-08,2.41E-08,,99.84474522,99.76970457,3491606,1488279,6070,3591
167,6/16/2021,5150,7240,67523,8304,,6242.5,4288.666667,5265.583333,34428,5738,30410423.92,0.932835089,62987.82375,0.083596845,0.501581069,0.111517557,0.104009004,,1,-1873,-1792,206335,8298,0,214633,4837,220,93,0,5150,336,237.3333333,286.6666667,117.5,77.33333333,97.41666667,2.06E-08,1.74E-07,,99.84917072,99.76511233,3697941,1496577,6290,3684
168,6/17/2021,5738,7530,65650,44466,,6224.5,4375.166667,5299.833333,38640,6440,30396854.33,0.932418845,61213.29715,0.086579772,0.519478634,0.104508759,0.095049505,,1,-502,-421,185147,44451,0,229598,5425,208,105,0,5738,356.8333333,256.6666667,306.75,118.8333333,87.33333333,103.0833333,2.52E-08,3.53E-08,,99.85256208,99.76572064,3883088,1541028,6498,3789
169,6/18/2021,6440,6861,65148,32780,,6273.333333,4573.833333,5423.583333,35466,5911,30347088.5,0.930892285,60645.7706,0.089430529,0.536583173,0.106188985,0.115337386,,1,-1074,-1007,153090,32778,0,185868,6133,198,109,0,6440,392.5,284.3333333,338.4166667,128.5,92.66666667,110.5833333,3.39E-08,5.18E-08,,99.85461049,99.76424904,4036178,1573806,6696,3898
170,6/19/2021,5911,6918,64074,36348,,6374.5,4714.333333,5544.416667,31758,5293,30308884.92,0.929720396,59570.90467,0.093072561,0.558435367,0.092720916,0.103536536,,1,-723,-648,135897,36347,0,172244,5535,269,107,0,5911,411.5,308.1666667,359.8333333,133.1666667,99.5,116.3333333,4.13E-08,5.00E-08,,99.85439061,99.7635221,4172075,1610153,6965,4005
171,6/20/2021,5293,5941,63351,24255,,6656.833333,4710,5683.416667,27666,4611,30266992.5,0.928435353,58817.30803,0.096628303,0.579769818,0.085854998,0.097899007,,1,-909,-828,122496,24250,0,146746,5012,207,74,0,5293,436,309.5,372.75,145,101.1666667,123.0833333,4.80E-08,8.01E-08,,99.85496655,99.76291135,4294571,1634403,7172,4079
172,6/21/2021,4611,5439,62442,54795,,6828.833333,4809.333333,5819.083333,28458,4743,30237054.08,0.927516996,57916.01629,0.10047451,0.602847057,0.088994587,0.088289933,,1,-902,-814,190617,54789,0,245406,4300,228,83,0,4611,464.3333333,317.5,390.9166667,156.5,109,132.75,3.28E-08,3.88E-08,,99.85767957,99.76634705,4485188,1689192,7400,4162
173,6/22/2021,4743,5557,61540,61080,,7020,4886.666667,5953.333333,31464,5244,30176440,0.925657669,56964.97293,0.104508666,0.627051996,0.103542411,0.096766331,,1,-1212,-1128,199201,61071,0,260272,4374,278,91,0,4743,509.3333333,347.6666667,428.5,166.6666667,115,140.8333333,3.50E-08,3.75E-08,,99.85961297,99.77002396,4684389,1750263,7678,4253
174,6/23/2021,5244,6372,60328,80200,,7215,5084.166667,6149.583333,35046,5841,30109406.67,0.923601431,55719.02716,0.110367744,0.662206465,0.089693012,0.081139769,,1,349,430,185359,80184,0,265543,4809,334,101,0,5244,553.6666667,389.8333333,471.75,178,125.1666667,151.5833333,4.22E-08,3.13E-08,,99.86001632,99.77546044,4869748,1830447,8012,4354
175,6/24/2021,5841,5411,60677,94859,84,7357.5,5316.833333,6337.166667,34872,5812,30023057.08,0.920952671,55880.64523,0.113405395,0.680432372,0.111656806,349,346,1,-1041,-963,182993,94848,0,277841,5349,377,115,0,5841,586.3333333,417.8333333,502.0833333,189.6666667,136.8333333,163.25,4.52E-08,2.84E-08,,99.85966832,99.78155837,5052741,1925295,8389,4469
176,6/25/2021,5812,6775,59636,68320,82,7434,5556.833333,6495.416667,34818,5803,29921860.92,0.917848494,54736.81281,0.11866633,0.711997977,0.087078275,-1041,-1045,1,522,610,154829,68315,0,223144,5355,323,134,0,5812,614.6666667,459.1666667,536.9166667,194.5,149.1666667,171.8333333,5.81E-08,4.22E-08,,99.85939143,99.78320133,5207570,1993610,8712,4603
