t,date,cases_new,cases_recovered,cases_active,daily_vaccinated,FIXED,new_exposed_over,new_exposed_under,new_exposed,E(t)= NewCt+1 / delta,delta E(t),S,S/N,S/N * I,beta1,beta2,gamma1,gamma2,,,,
804,4/8/2022,14944,14045,158372,21728,,10534.5,8140.833333,9337.666667,61062,10177,2363158.833,0.072489535,11480.3126,0.81336345,4.880180702,0.095547193,,,FALSE,-4973,-4955
805,4/9/2022,10177,15132,153399,30391,,10434.66667,7744.333333,9089.5,48672,8112,2332093.167,0.0715366,10973.64293,0.828302876,4.969817254,0.102771205,,,FALSE,-7669,-7653
806,4/10/2022,8112,15765,145730,30298,,9945.833333,7259,8602.416667,46434,7739,2292612.667,0.070325542,10248.54122,0.839379623,5.036277737,0.130714335,,,FALSE,-11332,-11310
807,4/11/2022,7739,19049,134398,33895,,9431.833333,6535,7983.416667,54012,9002,2253712.25,0.069132278,9291.239846,0.859241264,5.155447582,0.126385809,,,FALSE,-8001,-7984
808,4/12/2022,9002,16986,126397,35080,,8679.5,6084.166667,7381.833333,60312,10052,2211833.833,0.067847664,8575.741136,0.860780802,5.164684812,0.125738744,,,FALSE,-5855,-5841
809,4/13/2022,10052,15893,120542,36789,,8124.333333,5449.833333,6787.083333,62478,10413,2169372,0.066545153,8021.485878,0.846112982,5.07667789,0.109521992,,,FALSE,-2806,-2789
810,4/14/2022,10413,13202,117736,44584,,7444.166667,5403,6423.583333,58038,9673,2125795.917,0.065208464,7677.383682,0.836689112,5.02013467,0.12117789,,,FALSE,-4612,-4594
811,4/15/2022,9673,14267,113124,41828,,7008,5150.333333,6079.166667,58230,9705,2074788.333,0.063643814,7199.642804,0.844370593,5.06622356,0.126816591,,,FALSE,-4651,-4641
812,4/16/2022,9705,14346,108473,63882,,6231,4806.5,5518.75,39738,6623,2026881.167,0.062174269,6744.229472,0.818292145,4.909752869,0.103555724,,,FALSE,-4617,-4610
813,4/17/2022,6623,11233,103856,47888,,5779.666667,4058.166667,4918.916667,42840,7140,1957480.417,0.060045412,6236.076262,0.788783918,4.732703508,0.138874981,,,FALSE,-7296,-7283
814,4/18/2022,7140,14423,96560,43063,,5196.833333,3635.166667,4416,36414,6069,1904673.5,0.058425567,5641.572796,0.782760439,4.696562635,0.109973074,,,FALSE,-4557,-4550
815,4/19/2022,6069,10619,92003,37524,,4702.833333,3156.666667,3929.75,41808,6968,1857194.5,0.056969156,5241.3333,0.749761516,4.498569095,0.089855766,,,FALSE,-1308,-1299
816,4/20/2022,6968,8267,90695,47249,,4075.666667,2708.5,3392.083333,35394,5899,1815740.75,0.055697569,5051.491022,0.671501408,4.029008447,0.092992999,,,FALSE,-2546,-2535
817,4/21/2022,5899,8434,88149,43731,,3489.5,2470.666667,2980.083333,38052,6342,1765099.667,0.054144162,4772.753697,0.624394956,3.746369734,0.103359085,,,FALSE,-2777,-2769
818,4/22/2022,6342,9111,85372,46818,,3072.333333,2408.833333,2740.583333,33744,5624,1718388.583,0.052711306,4500.069636,0.609009094,3.654054566,0.117614675,,,FALSE,-4424,-4417
819,4/23/2022,5624,10041,80948,58110,,2884.666667,2099.166667,2491.916667,24036,4006,1668830,0.051191104,4143.81751,0.601357724,3.608146344,0.126290952,,,FALSE,-6224,-6217
820,4/24/2022,4006,10223,74724,40994,,2478.166667,1746,2112.083333,14868,2478,1608228.083,0.04933215,3686.295561,0.572955505,3.437733027,0.123320486,,,FALSE,-6742,-6737
821,4/25/2022,2478,9215,67982,28679,,2075.333333,1410.5,1742.916667,20166,3361,1565122,0.048009877,3263.807479,0.53401332,3.204079918,0.139507517,,,FALSE,-6131,-6123
822,4/26/2022,3361,9484,61851,24502,,1799.166667,1156.333333,1477.75,20826,3471,1534700.083,0.04707669,2911.740333,0.507514349,3.045086095,0.111558423,,,FALSE,-3437,-3429
823,4/27/2022,3471,6900,58414,24427,,1577.833333,1018.166667,1298,17610,2935,1508720.333,0.046279765,2703.386183,0.480138579,2.880831474,0.129849009,,,FALSE,-4659,-4650
824,4/28/2022,2935,7585,53755,21794,,1455.333333,976.1666667,1215.75,15474,2579,1482995.333,0.045490654,2445.350127,0.497168069,2.983008412,0.112640685,,,FALSE,-3480,-3476
825,4/29/2022,2579,6055,50275,27209,,1563.666667,979.5,1271.583333,12642,2107,1459985.583,0.044784834,2251.557522,0.564757205,3.388543232,0.137046246,,,FALSE,-4787,-4783
826,4/30/2022,2107,6890,45488,28197,,1712.666667,1184.666667,1448.666667,9018,1503,1431505,0.043911196,1997.432498,0.725264392,4.351586353,0.128363524,,,FALSE,-4344,-4336
827,5/1/2022,1503,5839,41144,10410,,1993.166667,1383.333333,1688.25,8112,1352,1401859.333,0.04300182,1769.266884,0.954208783,5.725252698,0.147627844,,,FALSE,-4725,-4722
828,5/2/2022,1352,6074,36419,1700,,2371,1604.5,1987.75,5532,922,1389761.083,0.042630708,1552.567757,1.28029839,7.681790339,0.151569236,,,FALSE,-4601,-4598
829,5/3/2022,922,5520,31818,1148,,2726.333333,1949.5,2337.916667,6324,1054,1386073.333,0.042517587,1352.82458,1.728174296,10.36904578,0.12907788,,,FALSE,-3059,-3053
830,5/4/2022,1054,4107,28759,1568,,3022.666667,2289.166667,2655.916667,7668,1278,1382587.417,0.042410657,1219.688083,2.177537604,13.06522562,0.09037171,,,FALSE,-1325,-1321
831,5/5/2022,1278,2599,27434,8240,,3189.5,2435.166667,2812.333333,7506,1251,1378363.5,0.042281089,1159.939394,2.424551961,14.54731177,0.11595101,,,FALSE,-1931,-1930
832,5/6/2022,1251,3181,25503,14488,,3203.833333,2456.333333,2830.083333,8232,1372,1367311.167,0.04194206,1069.648365,2.64580719,15.87484314,0.141551974,,,FALSE,-2241,-2238
833,5/7/2022,1372,3610,23262,18544,,3112.333333,2395.333333,2753.833333,12918,2153,1349993.083,0.041410831,963.2987455,2.858753161,17.15251896,0.123334193,,,FALSE,-720,-716
834,5/8/2022,2153,2869,22542,20588,,2923,2124.666667,2523.833333,13476,2246,1328695.25,0.040757523,918.7560836,2.747011289,16.48206773,0.107931861,,,FALSE,-193,-187
835,5/9/2022,2246,2433,22349,17955,,2705.666667,1801.166667,2253.416667,15630,2605,1305583.417,0.040048571,895.0455147,2.517655951,15.10593571,0.090115889,,,FALSE,586,591
836,5/10/2022,2605,2014,22935,17303,,2491.333333,1632.5,2061.916667,19926,3321,1285375,0.039428681,904.2967983,2.280132663,13.68079598,0.061739699,,,FALSE,1899,1905
837,5/11/2022,3321,1416,24834,16451,,2330.333333,1591,1960.666667,20460,3410,1266010.083,0.038834665,964.4200739,2.033000681,12.19800408,0.057582347,,,FALSE,1974,1980
838,5/12/2022,3410,1430,26808,19133,,2271.666667,1561.666667,1916.666667,18174,3029,1247598.417,0.03826989,1025.939213,1.868206851,11.2092411,0.041629364,,,FALSE,1909,1913
839,5/13/2022,3029,1116,28717,29466,,2201.333333,1615.666667,1908.5,14238,2373,1226548.75,0.037624195,1080.454002,1.76638709,10.59832254,0.046662256,,,FALSE,1030,1033
840,5/14/2022,2373,1340,29747,27316,,2175.833333,1673.666667,1924.75,13434,2239,1195174.25,0.036661787,1090.578172,1.764889532,10.58933719,0.042458063,,,FALSE,971,976
841,5/15/2022,2239,1263,30718,14323,,2250.666667,1594.833333,1922.75,10182,1697,1165933.5,0.035764831,1098.624088,1.750143677,10.50086206,0.050393906,,,FALSE,145,149
842,5/16/2022,1697,1548,30863,5593,,2319.5,1560.5,1940,8814,1469,1149687.75,0.035266495,1088.429847,1.78238405,10.6943043,0.059488708,,,FALSE,-368,-367
843,5/17/2022,1469,1836,30495,9542,,2273,1621.666667,1947.333333,12102,2017,1142154.75,0.035035422,1068.405187,1.822654323,10.93592594,0.083554681,,,FALSE,-536,-531
844,5/18/2022,2017,2548,29959,7153,,2242,1592.333333,1917.166667,12744,2124,1130665.417,0.034682988,1039.067645,1.845083596,11.07050158,0.076871725,,,FALSE,-183,-179
845,5/19/2022,2124,2303,29776,8484,,2179.333333,1602.333333,1890.833333,12378,2063,1121595.25,0.034404762,1024.436201,1.845730687,11.07438412,0.08792316,,,FALSE,-558,-555
846,5/20/2022,2063,2618,29218,14001,,2069,1619.166667,1844.083333,12126,2021,1111220.417,0.034086516,995.9398201,1.851601167,11.109607,0.10822096,,,TRUE,-1141,-1141
847,5/21/2022,2021,3162,28077,14595,,2032.5,1492,1762.25,10902,1817,1095375.333,0.03360047,943.400406,1.867976724,11.20786035,0.120703779,,,FALSE,-1574,-1572
848,5/22/2022,1817,3389,26503,8843,,1954.666667,1307.833333,1631.25,9264,1544,1079018.083,0.033098714,877.2152228,1.859577852,11.15746711,0.109610233,,,FALSE,-1365,-1361
849,5/23/2022,1544,2905,25138,4973,,1851.166667,1242.166667,1546.666667,11508,1918,1068543.833,0.032777418,823.9587387,1.877116649,11.26269989,0.084493595,,,FALSE,-211,-206
850,5/24/2022,1918,2124,24927,5316,,1856.5,1230.833333,1543.666667,14580,2430,1062024.167,0.032577428,812.0575584,1.900932576,11.40559546,0.087936775,,,FALSE,236,238
851,5/25/2022,2430,2192,25163,5297,,1851,1269.5,1560.25,11070,1845,1055164.5,0.032367009,814.4510526,1.915707513,11.49424508,0.072527123,,,FALSE,16,20
852,5/26/2022,1845,1825,25179,6253,,1842,1384.333333,1613.166667,11262,1877,1048307.25,0.032156664,809.6726456,1.992368984,11.95421391,0.066722269,,,FALSE,193,197
853,5/27/2022,1877,1680,25372,10925,,1875.833333,1428.666667,1652.25,9870,1645,1040441.083,0.031915371,809.7567842,2.040427487,12.24256492,0.07129907,,,FALSE,-167,-164
854,5/28/2022,1645,1809,25205,10526,,1876.666667,1413.166667,1644.916667,6930,1155,1027863.833,0.031529565,794.7026969,2.069851623,12.41910974,0.078357469,,,FALSE,-824,-820
855,5/29/2022,1155,1975,24381,6951,,1822.833333,1333.333333,1578.083333,7950,1325,1015692.917,0.031156224,759.619908,2.077464422,12.46478653,0.079365079,,,FALSE,-615,-610
856,5/30/2022,1325,1935,23766,4792,,1774.333333,1208.5,1491.416667,8706,1451,1007163.833,0.030894596,734.2409713,2.031235963,12.18741578,0.087141294,,,FALSE,-622,-620
857,5/31/2022,1451,2071,23144,4687,,1776,1154.166667,1465.083333,10854,1809,1000880.417,0.030701853,710.5636921,2.061860674,12.37116405,0.082569997,,,FALSE,-110,-102
858,6/1/2022,1809,1911,23034,2690,,1829.666667,1203.5,1516.583333,11262,1877,994728.3333,0.030513139,702.8396451,2.157794234,12.9467654,0.074455153,,,FALSE,157,162
859,6/2/2022,1877,1715,23191,4175,,1849.333333,1338.166667,1593.75,11064,1844,990521.75,0.030384103,704.6377271,2.261800552,13.57080331,0.086455953,,,FALSE,-165,-161
860,6/3/2022,1844,2005,23026,6848,,1884.833333,1401.333333,1643.083333,9546,1591,984753,0.030207147,695.5497723,2.362280025,14.17368015,0.09489273,,,FALSE,-598,-594
861,6/4/2022,1591,2185,22428,5677,,2011.833333,1475.166667,1743.5,8148,1358,976261.9167,0.029946685,671.6442413,2.595868308,15.57520985,0.07223114,,,TRUE,-262,-262
862,6/5/2022,1358,1620,22166,3187,,2144.166667,1570.833333,1857.5,7980,1330,968841.4167,0.029719062,658.7527252,2.81972268,16.91833608,0.084859695,,,FALSE,-554,-551
863,6/6/2022,1330,1881,21612,1348,,2277.833333,1576.666667,1927.25,6768,1128,963796.9167,0.029564323,638.94414,3.016304368,18.09782621,0.071580603,,,FALSE,-421,-419
864,6/7/2022,1128,1547,21191,3730,,2302.166667,1602.333333,1952.25,9108,1518,960521.6667,0.029463855,624.3685472,3.126759041,18.76055425,0.053088575,,,FALSE,388,393
865,6/8/2022,1518,1125,21579,3840,,2296.166667,1656.333333,1976.25,11322,1887,954839.4167,0.029289553,632.0392568,3.126783627,18.76070176,0.064831549,,,FALSE,487,488
866,6/9/2022,1887,1399,22066,5860,,2365.833333,1749.5,2057.666667,12996,2166,949023.1667,0.02911114,642.366417,3.203260027,19.21956016,0.067434061,,,FALSE,675,678
867,6/10/2022,2166,1488,22741,9618,,2385.666667,1755.333333,2070.5,10254,1709,941105.5,0.028868267,656.4932569,3.153878548,18.92327129,0.076777626,,,FALSE,-41,-37
868,6/11/2022,1709,1746,22700,10720,,2385.833333,1716.666667,2051.25,9426,1571,929417,0.028509724,647.1707331,3.169565456,19.01739274,0.083127753,,,TRUE,-316,-316
869,6/12/2022,1571,1887,22384,6522,,2385.666667,1678.833333,2032.25,12552,2092,916645.75,0.028117968,629.392591,3.228906773,19.37344064,0.083809864,,,FALSE,210,216
870,6/13/2022,2092,1876,22594,5297,,2403.166667,1660.166667,2031.666667,11532,1922,908091.5,0.027855567,629.3686917,3.228102531,19.36861519,0.069221917,,,FALSE,355,358
871,6/14/2022,1922,1564,22949,4766,,2530.333333,1709.333333,2119.833333,13920,2320,900762.8333,0.027630762,634.0983516,3.343067094,20.05840256,0.060569088,,,FALSE,929,930
872,6/15/2022,2320,1390,23878,6288,,2594,1820.833333,2207.416667,12198,2033,893877,0.02741954,654.7237732,3.371523621,20.22914173,0.055992964,,,FALSE,694,696
873,6/16/2022,2033,1337,24572,9658,,2623.166667,1957.833333,2290.5,12780,2130,885381.5833,0.027158944,667.3495787,3.432234129,20.59340477,0.043952466,,,TRUE,1050,1050
874,6/17/2022,2130,1080,25622,14802,,2675.333333,1992.666667,2334,12762,2127,873433.0833,0.026792426,686.4755356,3.399975496,20.39985298,0.054250254,,,TRUE,737,737
875,6/18/2022,2127,1390,26359,13952,,2642.166667,2006.333333,2324.25,10140,1690,856297.0833,0.026266782,692.3660988,3.35696679,20.14180074,0.079972685,,,FALSE,-423,-418
876,6/19/2022,1690,2108,25936,8660,,2659.5,1917.833333,2288.666667,12558,2093,840020.8333,0.02576751,668.3061452,3.424578216,20.5474693,0.080274522,,,FALSE,9,11
877,6/20/2022,2093,2082,25945,5224,,2689.5,1789.333333,2239.416667,11526,1921,829072.1667,0.025431662,659.824459,3.393958251,20.3637495,0.066139911,,,FALSE,202,205
878,6/21/2022,1921,1716,26147,4920,,2701.333333,1804.833333,2253.083333,14550,2425,821608.75,0.025202722,658.9755824,3.419069528,20.51441717,0.059280223,,,FALSE,874,875
879,6/22/2022,2425,1550,27021,6649,,2744.833333,1899,2321.916667,16776,2796,814435.6667,0.024982689,675.0572438,3.439584847,20.63750908,0.092631657,,,FALSE,292,293
880,6/23/2022,2796,2503,27313,8066,,2782.333333,2027.333333,2404.833333,15072,2512,805464.75,0.024707508,674.836157,3.563581039,21.38148623,0.057847911,,,FALSE,928,932
881,6/24/2022,2512,1580,28241,13504,,2871.166667,2132.833333,2502,13812,2302,794993.9167,0.024386316,688.6939632,3.632963455,21.79778073,0.089904748,,,FALSE,-241,-237
882,6/25/2022,2302,2539,28000,9227,,2875.166667,2218,2546.583333,12018,2003,778987.9167,0.023895335,669.0693763,3.806157364,22.83694418,0.066464286,,,FALSE,137,142
883,6/26/2022,2003,1861,28137,5034,,3026.333333,2103.5,2564.916667,11364,1894,767214.3333,0.023534182,662.181279,3.873435791,23.24061475,0.069090521,,,FALSE,-55,-50
884,6/27/2022,1894,1944,28082,2234,,2592.166667,2114.333333,2353.25,12150,2025,759615.4167,0.023301086,654.3411083,3.596365825,21.57819495,0.084288868,,,FALSE,-345,-342
885,6/28/2022,2025,2367,27737,1701,,2114.333333,1652.166667,1883.25,15630,2605,755028.1667,0.023160373,642.3992717,2.931588006,17.58952804,0.058874428,,,FALSE,969,972
886,6/29/2022,2605,1633,28706,1822,,1652.166667,1231,1441.583333,17202,2867,751443.9167,0.023050427,661.6855544,2.178653174,13.07191905,0.074723054,,,FALSE,720,722
887,6/30/2022,2867,2145,29426,3289,,1231,808.3333333,1019.666667,16638,2773,748180.3333,0.022950317,675.3360273,1.509865645,9.059193872,0.067423367,,,FALSE,781,789
888,7/1/2022,2773,1984,30207,5204,,808.3333333,488.6666667,648.5,15162,2527,743871.6667,0.022818149,689.2678354,0.94085342,5.645120518,0.078094481,,,FALSE,165,168
889,7/2/2022,2527,2359,30372,4935,,488.6666667,0,244.3333333,15216,2536,738019.1667,0.022638625,687.5803107,0.355352429,2.132114572,0.10282497,,,FALSE,-590,-587
890,7/3/2022,2536,3123,29782,5203,,0,0,0,11508,1918,732839.8333,0.022479749,669.4918993,0,0,0.07793298,,,TRUE,-403,-403
891,7/4/2022,1918,2321,29379,3431,,0,0,0,17592,2932,727636.8333,0.022320148,655.7436358,0,0,0.078014909,,,TRUE,640,640
892,7/5/2022,2932,2292,30019,4317,,0,0,0,0,0,724205.8333,0.022214903,666.869169,0,6477.032078,0,,,FALSE,-30019,0
